time,lat,lon,ugrd10m,vgrd10m,dir,speed
2022-08-15 12:00:00,15,50,4.911467,6.1831613,38.4611499933837,7.89645437863771
2022-08-15 12:00:00,15,50.5,6.491467,6.3131614,45.7977973096296,9.05511737497306
2022-08-15 12:00:00,15,51,5.5914674,4.7731614,49.5142402460587,7.35170575007683
2022-08-15 12:00:00,15,51.5,1.6014673,6.8831615,13.0976740334095,7.06700854308607
2022-08-15 12:00:00,15,52,1.5114672,9.563162,8.98136115754334,9.68186968177737
2022-08-15 12:00:00,15,52.5,1.1514672,9.333161,7.03325507017539,9.40392316879487
2022-08-15 12:00:00,15,53,2.2414672,8.973162,14.025285574401,9.24888163438801
2022-08-15 12:00:00,15,53.5,4.081467,8.743161,25.0240243447064,9.64889823472141
2022-08-15 12:00:00,15,54,5.1714673,8.933162,30.0668374483073,10.3220859012708
2022-08-15 12:00:00,15,54.5,6.791467,9.4231615,35.7810708696414,11.6155067331207
2022-08-15 12:00:00,15,55,7.281467,8.313162,41.2149945535225,11.0511729744101
2022-08-15 12:00:00,15,55.5,6.201467,8.643162,35.6594320031981,10.6377837123309
2022-08-15 12:00:00,15,56,5.3614674,9.103162,30.4967064993214,10.5647002361405
2022-08-15 12:00:00,15,56.5,7.1514673,10.243161,34.9215881364355,12.4926311005685
2022-08-15 12:00:00,15,57,7.201467,10.453161,34.5640134651572,12.6936874801615
2022-08-15 12:00:00,15,57.5,7.761467,10.403161,36.7254468607088,12.9794502496835
2022-08-15 12:00:00,15,58,7.6514673,10.653161,35.6872098903366,13.1162033811195
2022-08-15 12:00:00,15,58.5,8.191467,10.223162,38.7039930086517,13.1001211021247
2022-08-15 12:00:00,15,59,8.761467,9.523161,42.6145736733903,12.9403979623507
2022-08-15 12:00:00,15,59.5,8.961467,8.893162,45.219190727937,12.6252216277709
2022-08-15 12:00:00,15,60,8.651467,8.653161,44.9943911507266,12.2362198633406
2022-08-15 12:00:00,15,60.5,8.731467,8.413161,46.0636273569362,12.1251719156476
2022-08-15 12:00:00,15,61,9.291467,8.643162,47.0702393061785,12.689980629234
2022-08-15 12:00:00,15,61.5,8.981467,7.9331613,48.5464430823183,11.9833967506674
2022-08-15 12:00:00,15,62,9.101467,7.9231615,48.95923121891,12.0670290339906
